product_name,brand,price
"Wine - White, Riesling, Semi - Dry",Dynabox,15.8
"Lid - 10,12,16 Oz",Ainyx,88.34
Cafe Royale,Skyble,94.65
Sauce - Vodka Blush,Trilith,96.66
Kellogs Special K Cereal,Quire,76.5
Mix Pina Colada,Twiyo,24.63
The Pop Shoppe - Lime Rickey,Gabspot,33.1
Papayas,Flipbug,65.01
Edible Flower - Mixed,Katz,73.55
"Napkin - Beverge, White 2 - Ply",Voonix,84.64
Lid Tray - 12in Dome,Thoughtstorm,20.32
Flour - Whole Wheat,Oyoba,37.2
Wine - Winzer Krems Gruner,Edgewire,48.23
Glaze - Apricot,Buzzshare,19.23
"Gingerale - Schweppes, 355 Ml",Jaxbean,17.04
Table Cloth 72x144 White,Quimba,43.33
Tuna - Yellowfin,Digitube,39.07
Fib N9 - Prague Powder,Skivee,21.61
Flour - Strong,Topicstorm,96.55
Lamb Tenderloin Nz Fr,Izio,44.63
Nectarines,Voonte,96.34
Kiwano,Gabtune,75.03
"Stock - Veal, White",Skinder,48.78
Uniform Linen Charge,JumpXS,62.3
Sorrel - Fresh,Photobug,4.25
Hot Chocolate - Individual,Browsezoom,19.12
Arizona - Green Tea,Oloo,94.18
Pastry - Cheese Baked Scones,Flashset,11.24
Coffee Cup 16oz Foam,Tagopia,34.87
Sherry - Dry,Avaveo,4.18
Wine - Stoneliegh Sauvignon,Mydo,73.54
Avocado,Gigazoom,28.84
Petite Baguette,Skimia,88.07
"Syrup - Monin, Irish Cream",Feedspan,5.07
Wine - Pinot Noir Pond Haddock,Skaboo,4.08
"Nut - Walnut, Chopped",Topdrive,51.99
Soup - Chicken And Wild Rice,Wordware,10.92
"Shrimp - 16 - 20 Cooked, Peeled",Jetwire,87.65
"Crab - Dungeness, Whole",Avamba,47.74
Chocolate Eclairs,Snaptags,50.84
"Shrimp, Dried, Small / Lb",Yadel,94.82
Cookies Cereal Nut,Devify,63.97
"Appetizer - Spring Roll, Veg",Babbleblab,16.77
Cake - French Pear Tart,Zoonder,18.54
Wiberg Super Cure,Skipstorm,73.85
Quail - Jumbo,Brainbox,19.6
Langers - Ruby Red Grapfruit,Wikizz,49.82
Barley - Pearl,Fadeo,45.68
Lotus Rootlets - Canned,Fiveclub,24.72
Grenadine,Digitube,75.37
Onions - Green,Jabbersphere,80.99
Pancetta,Skipstorm,27.29
Cheese - Shred Cheddar / Mozza,Devify,41.95
Lid - 0090 Clear,Skinix,96.79
Aspic - Light,DabZ,94.91
Tea - English Breakfast,Flipbug,63.9
"Nestea - Ice Tea, Diet",Kaymbo,74.61
"Pepsi - Diet, 355 Ml",Jabbersphere,25.26
Wine - Chateau Bonnet,Realbuzz,64.59
"Doilies - 7, Paper",Photojam,47.46
"Rice Pilaf, Dry,package",Thoughtstorm,17.63
Icecream Cone - Areo Chocolate,Rhybox,59.19
"Beef - Roasted, Cooked",Jazzy,98.69
Snapple Lemon Tea,Ozu,10.46
Scallops 60/80 Iqf,Twiyo,29.35
Cleaner - Lime Away,Bubblemix,43.32
Vinegar - Sherry,Teklist,79.03
Pate - Liver,Kwinu,62.23
Ham - Proscuitto,Eamia,77.68
"Soup - Campbells, Creamy",Eazzy,23.65
Bag Stand,Vipe,61.33
Cleaner - Pine Sol,Aimbo,21.18
"Croissant, Raw - Mini",Skimia,99.92
Pancetta,Youfeed,32.89
"Potatoes - Yukon Gold, 80 Ct",Edgeify,69.93
"Napkin - Beverge, White 2 - Ply",Zoombox,9.21
Island Oasis - Lemonade,Tagcat,51.16
Butter - Unsalted,Innojam,78.42
Pork - Liver,Layo,68.0
Pear - Packum,Muxo,22.53
Bread - Bistro White,Dynava,1.92
Chickensplit Half,Jabberbean,75.78
"Trout - Rainbow, Frozen",Skaboo,4.48
Cumin - Whole,Tagcat,6.28
Wine - Fino Tio Pepe Gonzalez,Zava,80.2
Flour - Strong Pizza,Skibox,48.8
Coffee - Espresso,Voomm,99.86
Iced Tea Concentrate,Blogpad,14.03
Coffee - Espresso,Oyope,25.05
Lettuce - Radicchio,Skiba,66.47
Marjoram - Fresh,Jaxbean,8.11
"Trout - Rainbow, Fresh",Twitterbeat,14.42
Bouillion - Fish,Realmix,97.4
Neckerchief Blck,Topicware,29.48
Cream - 18%,Rhynoodle,42.25
Phyllo Dough,Meedoo,77.99
Bread Country Roll,Voomm,56.72
Pepper - Jalapeno,Twitterbeat,51.71
"Pasta - Gnocchi, Potato",Devpoint,62.18
Wine - Semi Dry Riesling Vineland,Kimia,8.93
Danishes - Mini Cheese,Kwideo,29.1
Pepper - Gypsy Pepper,Meetz,69.74
Jam - Raspberry,Midel,56.48
Cheese - Le Cheve Noir,Wordify,53.48
"Juice - Apple, 500 Ml",Quinu,75.64
"Sparkling Wine - Rose, Freixenet",Talane,82.26
Ecolab - Ster Bac,Twinte,66.47
Wooden Mop Handle,Voomm,95.01
Lobster - Base,Skajo,83.73
Cinnamon - Ground,Abata,70.21
Tuna - Yellowfin,Divape,77.33
"Oil - Olive, Extra Virgin",Jaxworks,55.8
Munchies Honey Sweet Trail Mix,Feedfire,96.38
Cauliflower,Gevee,41.78
"Nut - Hazelnut, Whole",Photojam,15.1
Sauce - Plum,Vipe,30.61
Squash - Butternut,Ozu,13.54
"Salt - Rock, Course",Voonix,14.33
Eggroll,Jaxworks,57.7
Wine - Prosecco Valdobienne,Gigaclub,71.7
Beef - Short Ribs,Eabox,63.8
Vacuum Bags 12x16,Yoveo,63.57
Bar Mix - Lime,Realmix,81.32
Mushroom - Crimini,Zoomcast,84.43
Wine - Periguita Fonseca,Chatterpoint,18.9
Spinach - Spinach Leaf,Ntags,87.33
Anchovy Paste - 56 G Tube,Blognation,15.58
Lamb - Shanks,Vitz,7.04
Milk - Skim,Devbug,31.9
Veal - Ground,Avamm,80.03
Tomato - Plum With Basil,Centizu,42.82
Tea - Mint,Twimbo,50.81
Pie Shell - 5,Divanoodle,13.15
"Coffee - Colombian, Portioned",Kayveo,82.97
Ham - Cooked Italian,Blogspan,66.22
Sobe - Lizard Fuel,Twimm,12.05
Turnip - White,Wikibox,81.93
Container Clear 8 Oz,Zoonoodle,64.6
"Salmon - Atlantic, Fresh, Whole",Kwimbee,61.28
Oil - Macadamia,Shuffledrive,77.27
"Tomatoes - Cherry, Yellow",Linkbuzz,12.06
Appetizer - Crab And Brie,Midel,78.06
Pastry - Butterscotch Baked,Kazu,20.3
Steel Wool,Gigaclub,8.67
Remy Red Berry Infusion,Shuffletag,8.13
Foil - Round Foil,Zazio,2.37
Venison - Liver,Twimbo,82.72
Fond - Neutral,Dabjam,29.6
Wine - Two Oceans Sauvignon,Thoughtmix,49.55
Chips Potato All Dressed - 43g,Blognation,84.87
Appetizer - Smoked Salmon / Dill,Thoughtworks,51.57
"Shrimp - 16 - 20 Cooked, Peeled",Katz,39.16
Wine - Chardonnay South,Brightbean,95.61
Wine - Merlot Vina Carmen,Fiveclub,47.89
Soup - Campbells - Chicken Noodle,Bubblemix,46.64
Dome Lid Clear P92008h,Roomm,36.89
Rosemary - Dry,Skimia,55.08
Sour Cream,Eamia,90.38
Oil - Olive Bertolli,Eamia,53.18
Bread Cranberry Foccacia,Realfire,81.8
Cheese - Ricotta,Dabjam,91.97
Sauce Tomato Pouch,Dabvine,83.48
Wine - Magnotta - Cab Sauv,Oloo,78.23
Muffin Batt - Carrot Spice,Avavee,46.72
Soup - Campbells Pasta Fagioli,Flipstorm,78.0
"Soup - Knorr, Chicken Noodle",Quire,11.48
Dried Cherries,Eare,68.48
Oil - Canola,Gigazoom,23.37
Flavouring Vanilla Artificial,Jabberbean,42.97
"Tomatoes - Cherry, Yellow",Mymm,99.18
Jolt Cola,Eabox,35.88
Blue Curacao - Marie Brizard,Rhynoodle,52.75
Wine - Pinot Noir Stoneleigh,Mydo,66.68
Dikon,Vipe,43.42
Flour Pastry Super Fine,Vipe,98.4
Beer - Mill St Organic,Blogpad,74.04
Pastry - Butterscotch Baked,Shufflebeat,19.57
"Turkey - Whole, Fresh",Zoonder,24.35
Creme De Menthe Green,Yakidoo,19.06
"Soup - Beef, Base Mix",Thoughtmix,77.33
Cookie Dough - Peanut Butter,Vidoo,94.49
"Carrots - Mini, Stem On",Skippad,69.59
"Tart Shells - Savory, 4",Flipopia,21.97
Ecolab - Mikroklene 4/4 L,Zoomcast,83.51
Pork - Backs - Boneless,Jatri,21.79
Hinge W Undercut,Youfeed,29.72
"Bread - Pita, Mini",Feedmix,35.5
Icecream - Dstk Super Cone,Ntags,1.83
Bread - Granary Small Pull,Yabox,43.41
Cup - Translucent 7 Oz Clear,Jabbercube,75.49
Sauce - Rosee,Jetwire,90.72
Orange - Tangerine,Realbridge,13.36
"Cheese - Woolwich Goat, Log",Devpulse,30.26
"Olives - Green, Pitted",Fliptune,31.76
Soho Lychee Liqueur,Zoonoodle,91.66
Sauerkraut,Youbridge,10.44
Pastry - Cheese Baked Scones,Camimbo,59.64
"Rum - Light, Captain Morgan",Skyba,24.88
Spring Roll Wrappers,Linkbridge,47.3
Soup - Campbells - Tomato,Kwideo,44.8
"Fish - Atlantic Salmon, Cold",Yamia,56.51
Goulash Seasoning,Oloo,27.86
Brandy Cherry - Mcguinness,Photospace,69.03
Cheese - Marble,Lazz,69.47
Lettuce - California Mix,Zava,73.78
Pastry - Plain Baked Croissant,Wordtune,42.47
Fennel - Seeds,Topicshots,18.72
Lettuce Romaine Chopped,Trudoo,63.79
Goulash Seasoning,Gigabox,50.58
"Bread - Roll, Whole Wheat",Fadeo,98.44
Momiji Oroshi Chili Sauce,Edgeclub,35.0
Shrimp - Black Tiger 26/30,Devpulse,37.07
Wine - Zinfandel California 2002,Twitterwire,59.38
"Lettuce - Romaine, Heart",Rhybox,46.28
Figs,Flashdog,60.69
Lobster - Canned Premium,Dabtype,47.75
Containter - 3oz Microwave Rect.,Avamm,39.85
Garbage Bags - Black,Zoozzy,22.63
Baking Powder,Divavu,88.24
Soup - Boston Clam Chowder,Fivebridge,12.23
V8 - Berry Blend,Yodoo,60.68
Kumquat,Mycat,45.7
"Turkey - Whole, Fresh",Buzzster,58.21
"Extract - Vanilla,artificial",Dabvine,77.24
Crab - Meat,Demivee,52.59
Towel Multifold,Aibox,17.53
Dr. Pepper - 355ml,Wordpedia,63.23
Wine - Fino Tio Pepe Gonzalez,Topdrive,85.0
Strawberries - California,Kamba,59.08
Skirt - 29 Foot,Eabox,15.99
Miso - Soy Bean Paste,Yata,44.55
Veal - Loin,Oloo,16.5
"Salmon - Atlantic, No Skin",Wikizz,51.79
Island Oasis - Cappucino Mix,Zoombox,11.69
Carbonated Water - Cherry,Photobean,40.62
Cheese - Provolone,Yoveo,74.4
Savory,Digitube,28.53
Bread - Rosemary Focaccia,Wikizz,90.2
"Tomatoes - Vine Ripe, Red",Vipe,46.04
Sausage - Chorizo,Mita,37.17
Wine - Muscadet Sur Lie,Oyoloo,50.1
Salt - Sea,Browsezoom,39.15
Butter - Pod,Mynte,85.49
Spaghetti Squash,Midel,51.43
Chips Potato Reg 43g,Thoughtworks,58.08
"Beef - Baby, Liver",Topicstorm,74.85
Beer - Upper Canada Lager,Zoomdog,84.37
Sauce Bbq Smokey,Shuffledrive,83.27
Bread - Sour Batard,Dynava,90.21
Table Cloth 90x90 White,Chatterbridge,16.03
Mousse - Banana Chocolate,Devify,94.72
Chicken Thigh - Bone Out,BlogXS,29.45
The Pop Shoppe Pinapple,Vidoo,14.02
Ginsing - Fresh,Layo,22.54
Cabbage - Nappa,Tazzy,58.77
Basil - Seedlings Cookstown,Skajo,93.03
"Chicken - Leg, Boneless",Zoombox,66.96
"Trout - Rainbow, Fresh",Realmix,12.55
"Turkey - Breast, Double",Leexo,46.85
"Pork - Bacon, Sliced",Rhyzio,69.17
Bread - Raisin Walnut Pull,Linkbridge,93.46
Cake - Miini Cheesecake Cherry,Topiczoom,17.7
Sprouts - Bean,Kwinu,1.47
Ice Cream - Vanilla,Snaptags,47.85
Yoghurt Tubes,Devpoint,20.49
Tomatillo,Omba,41.51
Bread - Mini Hamburger Bun,Wordtune,36.08
"Sugar - Brown, Individual",Jaxbean,60.32
"Pork - Ham, Virginia",Chatterbridge,80.14
Beef - Top Sirloin - Aaa,Youtags,81.89
Beets,Meemm,75.57
Wine - Pinot Noir Pond Haddock,Jabbersphere,44.35
Filter - Coffee,Dynava,1.51
"Bar Mix - Pina Colada, 355 Ml",Bubblemix,100.0
Potatoes - Fingerling 4 Oz,Kazu,88.99
Asparagus - Frozen,Einti,42.53
Dasheen,Midel,33.44
Muffin - Bran Ind Wrpd,Avamm,86.19
Jello - Assorted,Bubbletube,69.07
Pastry - Chocolate Chip Muffin,Tanoodle,38.54
Cardamon Seed / Pod,Edgeblab,93.05
Sugar - White Packet,Skipstorm,17.42
Shark - Loin,Rooxo,73.8
Sausage - Andouille,Tagopia,31.85
"Loaf Pan - 2 Lb, Foil",Eadel,63.05
Burger Veggie,Camimbo,85.35
Sauce - Caesar Dressing,Realcube,28.94
"Wine - Sherry Dry Sack, William",Fatz,84.18
Bread - 10 Grain,Riffpath,88.04
Pork - Kidney,Buzzster,37.02
Cup Translucent 9 Oz,Einti,10.35
"Sauce - Soya, Light",Skyba,39.77
"Beef - Ground, Extra Lean, Fresh",Lazz,98.93
Ice Cream - Strawberry,Skivee,91.49
"Pasta - Shells, Medium, Dry",Photolist,80.28
Creme De Menthe Green,Buzzbean,10.67
Paper - Brown Paper Mini Cups,Wordpedia,96.72
Cheese - Sheep Milk,Latz,24.98
Water - Aquafina Vitamin,Rhycero,85.92
"Garlic - Primerba, Paste",Thoughtbridge,62.86
Meldea Green Tea Liquor,Blogpad,99.82
Chocolate Bar - Oh Henry,Bluejam,23.72
Ecolab - Hand Soap Form Antibac,Kare,55.6
Ecolab - Hobart Upr Prewash Arm,Twitterwire,64.98
Sauce - Sesame Thai Dressing,Yakidoo,90.78
Bread - Calabrese Baguette,Skippad,70.89
Foil - 4oz Custard Cup,Skyble,59.59
Beer - Maudite,Izio,4.18
Clam - Cherrystone,Twitterwire,70.43
Pepper - Chilli Seeds Mild,Snaptags,24.63
Ocean Spray - Ruby Red,Edgewire,97.95
Kellogs Special K Cereal,Livepath,77.93
Soup - Campbells Beef Noodle,Tanoodle,74.36
Contreau,Skyvu,92.23
"Oranges - Navel, 72",Browsezoom,70.26
"Ham - Smoked, Bone - In",Flashspan,72.21
Sauce - Balsamic Viniagrette,Dabvine,83.45
"Rum - Coconut, Malibu",Fatz,57.34
Pur Source,Agimba,95.22
Ecolab Digiclean Mild Fm,Camido,38.98
Grand Marnier,Meedoo,12.82
Peach - Fresh,Yodo,97.36
Bar Special K,Youtags,68.97
Beef Cheek Fresh,Blogpad,6.69
Soup - Campbells,Jatri,89.14
Island Oasis - Banana Daiquiri,Photospace,40.75
Cape Capensis - Fillet,Oodoo,21.15
Cheese - Feta,Zoozzy,62.05
Onion Powder,Oodoo,80.98
Sausage - Meat,Zoomcast,59.55
Mousse - Banana Chocolate,Avamm,76.4
Oil - Canola,Avaveo,73.68
Beef - Top Butt,Thoughtbridge,41.21
Veal - Sweetbread,Digitube,87.49
Pork Casing,Zava,86.3
Cookies - Fortune,Tagtune,15.85
Red Pepper Paste,Gabtune,24.2
Rosemary - Dry,Vidoo,61.22
Sauce - Cranberry,Voonder,12.85
Longos - Lasagna Beef,Rhyloo,23.23
"Wine - Red, Cabernet Sauvignon",Yambee,28.36
Browning Caramel Glace,Mydo,64.44
Horseradish Root,Jaxbean,21.42
"Beans - Fava, Canned",Babblestorm,89.86
Squid - U - 10 Thailand,Plambee,21.68
Milk - Homo,Cogibox,12.0
Hot Choc Vending,Oyonder,82.21
Gatorade - Fruit Punch,Feednation,94.39
"Quail - Whole, Boneless",Twitterlist,36.49
Steam Pan - Half Size Deep,Viva,87.67
Melon - Watermelon Yellow,Jaxworks,73.58
Tea - Lemon Green Tea,Rhyloo,84.66
Bagel - Everything,Kazu,19.17
Apricots - Halves,Einti,29.49
Slt - Individual Portions,Feedfish,72.17
Mackerel Whole Fresh,Jaxspan,53.15
Cake Sheet Combo Party Pack,Zooveo,26.52
"Bread - Roll, Italian",Midel,85.34
Flour Dark Rye,Demizz,61.21
Taro Root,Bluezoom,26.63
Bread - Hot Dog Buns,Trilia,40.34
Pumpkin - Seed,Devpoint,79.92
Eggplant - Baby,Meedoo,60.02
Shopper Bag - S - 4,Yozio,89.64
Water - Spring Water 500ml,Skibox,69.06
"Pasta - Canelloni, Single Serve",Oyope,62.16
Sauce - Plum,Agivu,5.17
Plasticforkblack,Wikizz,17.32
"Rice Pilaf, Dry,package",Eare,1.43
Truffle Cups Green,Jabbertype,26.79
Shrimp - Black Tiger 6 - 8,Kazu,49.84
Compound - Mocha,InnoZ,69.51
Ketchup - Tomato,Linkbridge,2.6
Oil - Shortening - All - Purpose,Skyvu,72.65
Hummus - Spread,Kaymbo,36.59
Pie Filling - Apple,Vitz,87.31
Flour - Semolina,Centizu,79.94
"Beans - Turtle, Black, Dry",Kwimbee,34.41
Bread - 10 Grain Parisian,Wikibox,90.67
Shrimp - 31/40,Kayveo,12.93
Cocoa Powder - Natural,Devpulse,37.33
Cabbage Roll,Twinte,18.82
Syrup - Monin - Granny Smith,Dabjam,29.71
Wine - Shiraz South Eastern,Kimia,11.88
Lamb Rack Frenched Australian,Cogibox,71.73
"Gingerale - Schweppes, 355 Ml",Gabcube,90.7
"Cheese - Romano, Grated",Mybuzz,36.79
Sobe - Berry Energy,Aimbo,84.23
Onions - Vidalia,Linklinks,51.12
"Crab - Back Fin Meat, Canned",Browseblab,42.73
Corn Shoots,Geba,29.64
Glass - Juice Clear 5oz 55005,Yotz,69.3
Flounder - Fresh,Voomm,53.85
Bread Crumbs - Japanese Style,Roomm,42.54
Radish - Pickled,Realcube,24.64
Limes,Voonte,38.37
Bacardi Raspberry,Wordware,54.98
Lentils - Green Le Puy,Rhycero,16.21
Wine - Lou Black Shiraz,Wordtune,77.43
Bread - Corn Muffaleta Onion,Wordtune,4.79
Scallop - St. Jaques,Katz,97.66
Snails - Large Canned,Meedoo,69.65
Mustard - Seed,Pixope,91.13
Grapes - Black,Mynte,74.03
Vinegar - Balsamic,Rhyzio,89.76
Scallops - 10/20,Youspan,57.25
Cookie Dough - Peanut Butter,Eabox,76.52
Table Cloth 62x120 Colour,Realcube,44.65
Toamtoes 6x7 Select,Photobug,9.76
Mousse - Mango,Cogibox,71.23
Mussels - Cultivated,Jaxnation,73.4
Pike - Frozen Fillet,Skinix,29.77
Mortadella,Edgetag,67.31
Pork - Smoked Kassler,Pixoboo,59.91
Lamb Rack - Ontario,Viva,10.28
Pork - Kidney,Topiczoom,46.36
Bar - Sweet And Salty Chocolate,Wikizz,53.36
Eel Fresh,Livepath,67.17
Sage - Ground,Layo,23.95
Bananas,Skippad,6.79
Wild Boar - Tenderloin,Voolith,25.2
"Wine - Harrow Estates, Vidal",Browseblab,67.11
Steamers White,Katz,76.64
Mint - Fresh,Yacero,48.45
"Red Snapper - Fillet, Skin On",Thoughtblab,92.73
Bagel - Ched Chs Presliced,Myworks,26.87
Bread - Granary Small Pull,Zoomdog,73.55
Cheese - Augre Des Champs,Rooxo,38.82
Pie Filling - Pumpkin,Oyoyo,85.27
Bread - Raisin Walnut Pull,Shufflebeat,38.05
Sauce - Thousand Island,Gabtune,87.94
Lid Coffeecup 12oz D9542b,Flipstorm,93.52
Glove - Cutting,Linklinks,29.33
True - Vue Containers,Zoozzy,79.87
"Rice Pilaf, Dry,package",Jamia,13.69
Bouq All Italian - Primerba,Tazz,35.74
True - Vue Containers,Vimbo,39.63
Wine - Ruffino Chianti,Yata,69.92
Rambutan,Skyble,86.15
Marjoram - Fresh,Buzzshare,75.62
Wine - Winzer Krems Gruner,Jabbersphere,28.7
Onions Granulated,Realblab,30.28
Lamb Rack - Ontario,Cogibox,2.72
Venison - Striploin,Kare,90.73
Oil - Macadamia,Twinder,40.41
Sauce - Oyster,Tagtune,57.01
Wine - Chianti Classica Docg,Quinu,9.43
Kellogs Special K Cereal,Meeveo,68.62
Dish Towel,Trilia,86.71
Mussels - Cultivated,Topicstorm,60.18
Chicken - Whole,Twinte,14.94
Sugar - Splenda Sweetener,Centidel,71.47
"Corn - Cream, Canned",Rhybox,24.39
Spice - Paprika,Thoughtstorm,26.61
Bread Foccacia Whole,Lazzy,36.3
Parsley - Fresh,Podcat,47.18
Oil - Sesame,Eire,14.82
Isomalt,Zoombox,28.17
Ice Cream Bar - Hageen Daz To,Oyonder,8.8
"Juice - Apple, 1.36l",Twinder,84.26
Soup - Campbells Mac N Cheese,Kwinu,6.86
Cheese - Wine,Demimbu,93.02
Kirsch - Schloss,Eadel,83.72
Bread - Raisin Walnut Oval,Gevee,8.48
"Crab - Dungeness, Whole",Topiclounge,69.72
Gatorade - Orange,Oyondu,32.45
Tilapia - Fillets,Jabbersphere,45.45
Icecream Cone - Areo Chocolate,Livetube,58.48
Anisette - Mcguiness,Viva,1.43
Instant Coffee,Rhyzio,65.79
Aspic - Amber,Zooveo,82.3
Wine - Spumante Bambino White,Riffpath,5.73
Flour - Chickpea,Wikibox,79.82
Pork Loin Cutlets,Blognation,6.59
Wine - Rosso Toscano Igt,Rhynyx,47.14
Wine - Chateau Bonnet,Skimia,65.0
Pepper Squash,Realfire,37.78
Pepper - Cubanelle,Dazzlesphere,42.51
Ecolab Digiclean Mild Fm,Topdrive,88.46
Pork - European Side Bacon,Cogibox,44.67
Capers - Ox Eye Daisy,Dynabox,39.56
Sauce - Mint,Kanoodle,68.01
Kaffir Lime Leaves,Jaxnation,44.8
Kahlua,Topicware,17.38
Wine - Maipo Valle Cabernet,Shuffletag,13.95
Artichokes - Jerusalem,Vidoo,86.63
"Cheese - Brie,danish",Edgepulse,85.78
"Juice - Apple, 500 Ml",Twinder,12.92
Ecolab - Lime - A - Way 4/4 L,Skibox,3.34
"Quail - Eggs, Fresh",Livepath,14.41
Lettuce - Frisee,Jaloo,84.76
Salmon Atl.whole 8 - 10 Lb,Jaloo,40.94
Cardamon Seed / Pod,Cogidoo,20.44
Tuna - Bluefin,Livefish,37.77
Sole - Iqf,Twitterbeat,10.3
White Baguette,InnoZ,23.96
Pie Filling - Cherry,Yakijo,99.42
Wheat - Soft Kernal Of Wheat,Kazio,92.99
Pie Shells 10,Gigashots,48.95
Lemon Grass,Youbridge,6.41
Loquat,Skipstorm,17.04
Veal - Slab Bacon,Skinder,72.96
"Chicken - Breast, 5 - 7 Oz",Tagtune,60.29
Muffin - Carrot Individual Wrap,Jaloo,24.31
Energy - Boo - Koo,Topiczoom,43.92
"Doilies - 8, Paper",Tazz,19.8
Bread - Pumpernickel,Avamm,99.17
"Soup - Knorr, Ministrone",Twitterworks,69.29
Rice - Wild,Ozu,11.55
Skirt - 24 Foot,Youfeed,40.66
"Beef - Tenderlion, Center Cut",Yakidoo,27.25
